"abbreviation","expansion"
"ca.","circa"
"dr.","doktor"
"kwart.","kwartal"
"kw.","kwartal"
"mjas.","mjasac"
"tyź.","tyźeń"
"góź.","góźina"
"min.","minutow"
"sek.","sekundow"
"pś.Kr.n.","pśed Kristusowym naroźenim"
"pś.n.l.c.","pśed našym licenim casa"
"pó Kr.n.","pó Kristusowym naroźenim"
"n.l.c.","našogo licenja casa"
"jan.","januar"
"feb.","februar"
"měr.","měrc"
"apr.","apryl"
"jun.","junij"
"jul.","julij"
"awg.","awgust"
"sep.","september"
"okt.","oktober"
"now.","nowember"
"dec.","december"
"dop.","dopołdnja"
"połd.","połdnjo"
"wótp.","wótpołdnja"
"nje.","njeźela"
"pón.","pónjeźele"
"wał.","wałtora"
"srj.","srjoda"
"stw.","stwórtk"
"pě.","pětk"
"sob.","sobota"
"nj.","njeźela"
"pó.","pónjeźele"
"sr.","wu."
"st.","stwórtk"
"tys.","tysac"
"mil.","milionow"
"mrd.","miliardow"
"bil.","bilionow"
"mio.","milionow"
"PLN","pólskich złotych"
"zł","pólskich złotych"
"Kč","českich kronow"
"EUR","eurow"
"DKK","dańskich kronow"
"DM","markow"
"CHF","šwicaŕskich frankow"
"CZK","českich krónow"
"HUF","hungorskich forintow"
"PLZ","pej el cet"
"RUB","rusojskich rublow"
"CNY","chinskich yuanow"
"CN¥","chinskich yuanow"
"JPY","japańskich yenow"
"AUD","awstralskich dolarow"
"NZ$","nowoseelandskich dolarow"
"dn.","dnjow"
"dn.","dnjow"
"cm","centimetrow"
"dm","decimetrow"
"ft","stopow"
"km","kilometrow"
"m","metrow"
"μm","mikrometrow"
"mm","milimetrow"
"nm","nanometrow"
"nmi","nawtiskich milow"
"cm²"," kwadratnych centimetrow"
"ft²","kwadratnych stopow"
"in²","kwadratnych cólow"
"km²","kwadratnych kilometrow"
"m²","kwadratnych metrow"
"mi²","kwadratnych milow"
"yd²","kwadratnych yardow"
"cm³","kubiknych centimetrow"
"ft³","kubiknych stopow"
"in³","kubiknych cólow"
"km³","kubiknych kilometrow"
"m³","kubiknych metrow"
"mi³","kubiknych milow"
"yd³","kubiknych yardow"
"fl. oz.","žydkich uncow"
"łž.","łžycow"
"łžk.","łžyckow"
"m/s²","metrow na kwadratnu sekundu"
"km/h","kilometrow na góźinu"
"m/s","metrow na sekundu"
"mph","milow na góźinu"
"kg","kilogramow"
"µg","mikrogramow"
"mg","miligramow"
"oz","uncow"
"oz. tr.","trojskich uncow"
"lb","puntow"
"cal","kalorijow"
"kcal","kilokalorijow"
"kJ","kilodžulow"
"kWh","kilowattowych góźin"
"GW","gigawattow"
"PS","kónjecych mócow"
"kW","kilowattow"
"MW","megawattow"
"mW","miliwattow"
"mA","milliamperow"
"Ω","ohmow"
"GHz","gigahertzow"
"Hz","hertzow"
"kHz","kilohertzow"
"MHz","megahertzow"
"hPa","hektopascalow"
"inHg","cólow žywoslobrowego stołpika"
"mbar","milibarow"
"mm Hg","milimetrow žywoslobrowego stołpika"
"°C","stopnjow Celsiusa"
"°F","stopnjow Fahrenheita"
"bit","bitow"
"byte","byteow"
"Gb","gigabitow"
"GB","gigabyteow"
"kb","kilobitow"
"kB","kilobyteow"
"Mb","megabitow"
"MB","megabyteow"
"Tb","terabitow"
"TB","terabyteow"
"l/km","litrow na kilometer"
"mpg","milow na galonu"
